wavelength,mm_cm_2
3475.0,1.6177317046284185e-08
3476.0,1.6192526381094346e-08
3477.0,1.6298690880780268e-08
3478.0,1.6313432236057816e-08
3479.0,1.6328207018444836e-08
3480.0,1.6343650343021323e-08
3481.0,1.6359127094707265e-08
3482.0,1.637406901264165e-08
3483.0,1.6388877222138145e-08
3484.0,1.6403618577415693e-08
3485.0,1.6419061901992176e-08
3486.0,1.643383668437919e-08
3487.0,1.6454227221157658e-08
3488.0,1.6471074484331996e-08
3489.0,1.6566241465001333e-08
3490.0,1.658148422692098e-08
3491.0,1.6597161541263762e-08
3492.0,1.661210345919815e-08
3493.0,1.662704537713253e-08
3494.0,1.664272269147532e-08
3495.0,1.665783174495707e-08
3496.0,1.6672807090000928e-08
3497.0,1.673548292026261e-08
3498.0,1.6752697881641152e-08
3499.0,1.6913816549300515e-08
3500.0,1.693083094802222e-08
3501.0,1.6961149336314137e-08
3502.0,1.698047020558947e-08
3503.0,1.6997518031420647e-08
3504.0,1.701312849154449e-08
3505.0,1.7030811432455654e-08
3506.0,1.7046488746798442e-08
3507.0,1.706216606114123e-08
3508.0,1.7077475677279816e-08
3509.0,1.7133399231427973e-08
3510.0,1.7148875983113925e-08
3511.0,1.7164519870347232e-08
3512.0,1.7181567696178416e-08
3513.0,1.7197445573178045e-08
3514.0,1.725831633952819e-08
3515.0,1.727392679965203e-08
3516.0,1.7289403551337977e-08
3517.0,1.7304980584352352e-08
3518.0,1.7320490763147777e-08
3519.0,1.7336168077490565e-08
3520.0,1.7352179662928083e-08
3521.0,1.7459413830117127e-08
3522.0,1.7475659405320963e-08
3523.0,1.7491804699196372e-08
3524.0,1.7507515440648633e-08
3525.0,1.752319275499142e-08
3526.0,1.75397391741805e-08
3527.0,1.7652087689118914e-08
3528.0,1.7758887303884817e-08
3529.0,1.7774865462212865e-08
3530.0,1.779074333921249e-08
3531.0,1.780665464332158e-08
3532.0,1.782259937454016e-08
3533.0,1.783867781419662e-08
3534.0,1.7856126765341475e-08
3535.0,1.7872606330311613e-08
3536.0,1.7891459220054308e-08
3537.0,1.790927586940338e-08
3538.0,1.7937922902221653e-08
3539.0,1.7957310625715933e-08
3540.0,1.7973455919591342e-08
3541.0,1.8037970240874028e-08
3542.0,1.8054082107639968e-08
3543.0,1.8072099319645862e-08
3544.0,1.8095331160729525e-08
3545.0,1.8136279369833822e-08
3546.0,1.8154062592073398e-08
3547.0,1.8170441875715122e-08
3548.0,1.81871220033421e-08
3549.0,1.8203434432764873e-08
3550.0,1.8240939649593463e-08
3551.0,1.825792062120568e-08
3552.0,1.8274433613285303e-08
3553.0,1.8290913178255444e-08
3554.0,1.8307426170335053e-08
3555.0,1.8333365607286022e-08
3556.0,1.834971146381826e-08
3557.0,1.836635816433577e-08
3558.0,1.8445647268005485e-08
3559.0,1.8462160260085094e-08
3560.0,1.8479107804587852e-08
3561.0,1.8496155630419023e-08
3562.0,1.851300289359337e-08
3563.0,1.853021785497191e-08
3564.0,1.854683112837994e-08
3565.0,1.8565316319918454e-08
3566.0,1.8600347930646054e-08
3567.0,1.861732890225828e-08
3568.0,1.8634176165432622e-08
3569.0,1.8651691970796417e-08
3570.0,1.8668372098423394e-08
3571.0,1.868508565315985e-08
3572.0,1.8701932916334184e-08
3573.0,1.8727337519533585e-08
3574.0,1.8744318491145815e-08
3575.0,1.876434132972008e-08
3576.0,1.87812220200039e-08
3577.0,1.8798804679586636e-08
3578.0,1.8815551661432557e-08
3579.0,1.8873915394572236e-08
3580.0,1.889487419221174e-08
3581.0,1.891172145538609e-08
3582.0,1.892866899988884e-08
3583.0,1.894571682572002e-08
3584.0,1.896410173593011e-08
3585.0,1.8980982426213923e-08
3586.0,1.9004347975735485e-08
3587.0,1.9021429228676128e-08
3588.0,1.9038376773178886e-08
3589.0,1.9055290890572175e-08
3590.0,1.910382705352682e-08
3591.0,1.9121075442014843e-08
3592.0,1.91391260811302e-08
3593.0,1.915620733407085e-08
3594.0,1.917355600388728e-08
3595.0,1.919097152792266e-08
3596.0,1.921012526165064e-08
3597.0,1.9227239941700755e-08
3598.0,1.925929653968526e-08
3599.0,1.9276411219735387e-08
3600.0,1.92936596082234e-08
3601.0,1.9310807715383002e-08
3602.0,1.9334173264904553e-08
3603.0,1.9351421653392567e-08
3604.0,1.937535546377516e-08
3605.0,1.9411623877553253e-08
3606.0,1.9429139682917057e-08
3607.0,1.9446521779842957e-08
3608.0,1.9469085078737163e-08
3609.0,1.9488506229340915e-08
3610.0,1.9506022034704713e-08
3611.0,1.9523370704521154e-08
3612.0,1.9540786228556525e-08
3613.0,1.9561277046663414e-08
3614.0,1.9578625716479847e-08
3615.0,1.960165699490667e-08
3616.0,1.9619507071365207e-08
3617.0,1.963692259540058e-08
3618.0,1.965714599663168e-08
3619.0,1.967469522910495e-08
3620.0,1.9692211034468748e-08
3621.0,1.9710729653116735e-08
3622.0,1.9728980854888937e-08
3623.0,1.9746596941581152e-08
3624.0,1.977711589252991e-08
3625.0,1.979469855211265e-08
3626.0,1.981475481779639e-08
3627.0,1.9832838884021226e-08
3628.0,1.98507558146987e-08
3629.0,1.9868371901390915e-08
3630.0,1.9886021415192605e-08
3631.0,1.9903704356103767e-08
3632.0,1.9921387297014923e-08
